,cost,solution,time
example,8253.642421344399,"{'Operation1': {'Subtask1': 'Erfurt', 'Subtask2': 'Erfurt', 'Subtask4': 'Frankfurt', 'Subtask5': 'Hamburg', 'Subtask6': 'Berlin', 'Subtask8': 'Erfurt', 'Subtask9': 'Erfurt', 'Subtask10': 'Bremen'}, 'Operation2': {'Subtask1': 'Hannover', 'Subtask3': 'Dresden', 'Subtask4': 'Frankfurt', 'Subtask6': 'Berlin', 'Subtask7': 'Hannover', 'Subtask9': 'Dusseldorf', 'Subtask10': 'Bremen'}, 'Operation3': {'Subtask1': 'Hannover', 'Subtask4': 'Bremen', 'Subtask5': 'Hamburg', 'Subtask6': 'Berlin', 'Subtask7': 'Hannover', 'Subtask8': 'Erfurt', 'Subtask10': 'Bremen'}, 'Operation4': {'Subtask1': 'Hannover', 'Subtask2': 'Dresden', 'Subtask3': 'Dresden', 'Subtask4': 'Frankfurt', 'Subtask8': 'Erfurt', 'Subtask9': 'Erfurt', 'Subtask10': 'Bremen'}, 'Operation5': {'Subtask1': 'Hannover', 'Subtask2': 'Dresden', 'Subtask3': 'Dresden', 'Subtask4': 'Frankfurt', 'Subtask5': 'Hamburg', 'Subtask6': 'Berlin', 'Subtask7': 'Hannover', 'Subtask8': 'Erfurt', 'Subtask9': 'Erfurt', 'Subtask10': 'Bremen'}}",0.007133007049560547
"5,10,10-1",5086.083142240973,"{'Operation1': {'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4'}, 'Operation2': {'Sub-operation1': 'city2', 'Sub-operation4': 'city2', 'Sub-operation6': 'city2', 'Sub-operation7': 'city2'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation5': 'city4', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation4': {'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation5': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4'}}",0.0023114681243896484
"5,10,10-2",7352.656258691601,"{'Operation1': {'Sub-operation1': 'city9', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation3': {'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}, 'Operation4': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation9': 'city7'}, 'Operation5': {'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}}",0.0026352405548095703
"5,10,10-3",7652.315226974414,"{'Operation1': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation4': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}, 'Operation5': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation9': 'city7'}}",0.0032296180725097656
"5,5,5-1",2648.6294673612974,"{'Operation1': {'Sub-operation3': 'city1', 'Sub-operation5': 'city1'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1'}, 'Operation3': {'Sub-operation1': 'city3', 'Sub-operation4': 'city3'}, 'Operation4': {'Sub-operation1': 'city2', 'Sub-operation2': 'city2'}, 'Operation5': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation5': 'city1'}}",0.001028299331665039
"5,5,5-2",5944.423926202039,"{'Operation1': {'Sub-operation1': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city1'}, 'Operation4': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}, 'Operation5': {'Sub-operation3': 'city1', 'Sub-operation4': 'city3'}}",0.0019114017486572266
"5,5,5-3",6653.881316846512,"{'Operation1': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}, 'Operation4': {'Sub-operation3': 'city1', 'Sub-operation5': 'city1'}, 'Operation5': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}}",0.0012402534484863281
"10,10,10-1",12221.755637640264,"{'Operation1': {'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4'}, 'Operation2': {'Sub-operation1': 'city2', 'Sub-operation4': 'city2', 'Sub-operation6': 'city2', 'Sub-operation7': 'city2'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation5': 'city4', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation4': {'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation5': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4'}, 'Operation6': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation7': {'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation8': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation9': {'Sub-operation1': 'city10', 'Sub-operation3': 'city10', 'Sub-operation4': 'city10', 'Sub-operation6': 'city10', 'Sub-operation9': 'city10', 'Sub-operation10': 'city10'}, 'Operation10': {'Sub-operation1': 'city10', 'Sub-operation2': 'city10', 'Sub-operation3': 'city10', 'Sub-operation6': 'city10', 'Sub-operation7': 'city10', 'Sub-operation8': 'city10', 'Sub-operation9': 'city10', 'Sub-operation10': 'city10'}}",0.004991292953491211
"10,10,10-2",14275.526162904362,"{'Operation1': {'Sub-operation1': 'city9', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation3': {'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}, 'Operation4': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation9': 'city7'}, 'Operation5': {'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation6': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation7': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation8': {'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city4'}, 'Operation9': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation7': 'city8', 'Sub-operation9': 'city8', 'Sub-operation10': 'city4'}, 'Operation10': {'Sub-operation1': 'city9', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}}",0.005723237991333008
"10,10,10-3",14200.754291687685,"{'Operation1': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation4': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}, 'Operation5': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation9': 'city7'}, 'Operation6': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4'}, 'Operation7': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation8': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation9': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation10': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}}",0.0073664188385009766
