i,value,objvalue,status
0,6528.319860498594,6528.319860498593,OPTIMAL
1,13093.782405205176,13093.782405205176,OPTIMAL
2,180644.2083038724,180644.20830387244,FEASIBLE
3,773261.6613979042,773261.6613979037,FEASIBLE
4,1168340.463367022,1168340.4633670219,FEASIBLE
5,625347.3613078711,625347.3613078714,FEASIBLE
6,107415.66694986381,107415.66694986382,FEASIBLE
7,189528.22929045066,189528.22929045063,FEASIBLE
8,49228.52753222422,49228.52753222421,FEASIBLE
9,1113659.1579402296,1113659.1579402299,FEASIBLE
10,1609342.2120338178,1609342.2120338178,FEASIBLE
11,1970026.0839806497,1970026.0839806516,FEASIBLE
12,3269170.080195418,3269170.080195418,FEASIBLE
14,3358408.167327112,3358408.167327112,FEASIBLE
15,2890.7013071007264,2890.7013071007264,OPTIMAL
16,9887.802569167365,9887.802569167368,OPTIMAL
17,11036.0327367926,11036.0327367926,OPTIMAL
